comparison,fixed_factor,fixed_value,topology,stratum,outcome,false_to_false,false_to_true,true_to_false,true_to_true,discordant_n,exact_mcnemar_p
attack_effect_clean_to_compromised,defense_prompt,False,safety_monitor,semantic_sensitivity,intermediate_propagation,2,0,0,0,0,1.0
attack_effect_clean_to_compromised,defense_prompt,True,safety_monitor,all,utility,1,2,5,3,7,0.453125
attack_effect_clean_to_compromised,defense_prompt,True,safety_monitor,all,final_unsafe,11,0,0,0,0,1.0
attack_effect_clean_to_compromised,defense_prompt,True,safety_monitor,all,intermediate_propagation,11,0,0,0,0,1.0
attack_effect_clean_to_compromised,defense_prompt,True,safety_monitor,primary_strict,utility,1,2,4,2,6,0.6875
attack_effect_clean_to_compromised,defense_prompt,True,safety_monitor,primary_strict,final_unsafe,9,0,0,0,0,1.0
attack_effect_clean_to_compromised,defense_prompt,True,safety_monitor,primary_strict,intermediate_propagation,9,0,0,0,0,1.0
attack_effect_clean_to_compromised,defense_prompt,True,safety_monitor,semantic_sensitivity,utility,0,0,1,1,1,1.0
attack_effect_clean_to_compromised,defense_prompt,True,safety_monitor,semantic_sensitivity,final_unsafe,2,0,0,0,0,1.0
attack_effect_clean_to_compromised,defense_prompt,True,safety_monitor,semantic_sensitivity,intermediate_propagation,2,0,0,0,0,1.0
defense_effect_standard_to_defended,attack_condition,clean,sequential,all,utility,2,3,1,5,4,0.625
defense_effect_standard_to_defended,attack_condition,clean,sequential,all,final_unsafe,11,0,0,0,0,1.0
defense_effect_standard_to_defended,attack_condition,clean,sequential,all,intermediate_propagation,11,0,0,0,0,1.0
defense_effect_standard_to_defended,attack_condition,clean,sequential,primary_strict,utility,1,3,1,4,4,0.625
defense_effect_standard_to_defended,attack_condition,clean,sequential,primary_strict,final_unsafe,9,0,0,0,0,1.0
defense_effect_standard_to_defended,attack_condition,clean,sequential,primary_strict,intermediate_propagation,9,0,0,0,0,1.0
